"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
6.40549389716678,-0.0394021486892142,NA,0.0291822688320002,-0.0101077491798332,"+",NA,0.885690735288603,NA,"+",NA,NA,NA,8,-178.110255498341,372.613953619633,4.52895656343054,0.00291972730782095
36.9733421709247,-0.0874412993503149,1.78134853002792,0.0581708803836971,-0.0071665115750961,"+",-26.5649492914911,NA,-0.00729779564503853,"+",NA,0.112558659080036,NA,11,-174.949836879174,372.626946485622,4.54194942941962,0.00290082097336382
64.2297635639259,-0.0903462932860776,1.8082829872411,0.0683699371070672,-0.00736154160215356,"+",-21.7639454641621,NA,-0.0162756675852868,NA,NA,0.0927226639159072,NA,10,-176.033387952707,372.671171509809,4.58617445360733,0.00283738053324021
11.9788215737257,-0.0815138267222327,0.753698452777561,0.0696013735215255,-0.00446135229437086,NA,-29.8550477772872,NA,0.000185011482216771,"+",NA,0.119383986171811,NA,9,-177.121893870641,372.736938426213,4.651941370011,0.00274559503207466
24.0874198590217,-0.100420948928045,NA,NA,-0.00860304978160436,NA,-27.4577914820988,12.6892386177823,NA,"+",NA,0.108141992851135,-0.0505369603787841,8,-178.18259279048,372.75862820391,4.67363114770836,0.00271598023397825
6.46440463476969,-0.0368382959749406,NA,NA,-0.00919970788357507,NA,2.0904654315099,-0.570635928491309,9.82275970125482e-05,"+",NA,NA,NA,7,-179.251536855928,372.808250823573,4.72325376737143,0.00264942231585311
10.1481561306447,-0.0422003263771525,0.642744240731787,NA,-0.0111091349482696,"+",NA,1.02962233666066,NA,"+",NA,NA,NA,8,-178.215503525079,372.824449673108,4.73945261690625,0.00262805018693929
37.0936067029115,-0.0454709437848701,NA,NA,-0.009691175831712,"+",NA,-4.72086227312033,-0.00857504158848586,NA,NA,NA,0.0242142958298424,8,-178.218607030192,372.830656683335,4.74565962713274,0.00261990666301668
71.4885706825695,-0.085956578431379,1.49871874082795,NA,-0.00897331288195098,"+",-14.8393134743668,NA,-0.0168653636045749,NA,NA,0.0658809229105171,NA,9,-177.177999281994,372.849149248919,4.76415219271672,0.00259579391356251
20.9350617494204,-0.0864915533560598,NA,NA,NA,NA,-32.5536562554834,0.161649926239303,NA,"+",NA,0.125387108754387,NA,6,-180.315825734696,372.859912338957,4.77491528275516,0.00258186205284728
